Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, East",522,"8.2 km west of Hwy 524 to 26.2 km west of Hwy 524, Commanda",Resurfacing,Planned,2027-2028,,18,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","11, 65","Hwy 11, Hwy 11B to Roland Rd., south of New Liskeard northerly and Hwy 65, Armstrong St. northerly to north junction Hwy 11/65 at New Liskeard",Resurfacing,Planned,2027-2028,,18.9,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",805,"Azen Creek, north of River Valley",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","624, 66","Quebec-Ontario provincial border to 2.3 km west of Hwy 624, Virginiatown",Resurfacing,Planned,Not available,,21,$10 to $25 million,Design in procurement,To be determined
Rehab,2027-2028,"North, East",655,"Algonquin Blvd. to 11.3 km north of Hwy 101, Timmins",Resurfacing,Planned,2027-2028,,11.3,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",11,"17.2 km north of Hwy 64 to 0.2 km south of Wilson Lake Rd., north of Marten River",Resurfacing,Planned,2027-2028,,10.2,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",17,"Junction Creek Bridge, 8.9 km west of Sudbury Municipal Rd. 80 Middle Interchange",Bridge replacement,Planned,Not available,2026-5023,0,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",To be assigned,"Portage Creek Bridge, north of MacTier",Bridge replacement,Planned,Not available,,0,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","400, To be assigned","Mill Lake Bridge northerly 16.3 km, Parry Sound",Resurfacing,Planned,2027-2028,,17.9,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","637, To be assigned","Wanapitei River Bridge and Mahzenazing River Bridge, Wanup",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
